name,rating,genre,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime
Hangar 18,PG,Sci-Fi,1980,"March 13, 1981",0.45945945945945943,0.000985431037535964,James L. Conway,Ken Pettus,Darren McGavin,United States,0.030890709753172076,0.027743737806663903,Sunn Classic Pictures,0.11221122112211221
Herbie Goes Bananas,G,Adventure,1980,"June 25, 1980",0.41891891891891886,0.0021937819926540593,Vincent McEveety,Don Tait,Charles Martin Smith,United States,0.10031968594957656,0.006321790133381434,Walt Disney Productions,0.12211221122112212
The Competition,PG,Drama,1980,"December 3, 1980",0.6486486486486486,0.0007770946659638786,Joel Oliansky,Joel Oliansky,Richard Dreyfuss,United States,0.10031968594957656,0.005017988095130079,Rastar Films,0.19801980198019806
It's My Turn,R,Comedy,1980,"February 5, 1981",0.4864864864864864,0.00035000510424110356,Claudia Weill,Eleanor Bergstein,Jill Clayburgh,United States,0.10031968594957656,0.027743737806663903,Rastar Films,0.09240924092409245
Honeysuckle Rose,PG,Drama,1980,"July 18, 1980",0.5945945945945945,0.0005687582943917932,Jerry Schatzberg,Gösta Stevens,Willie Nelson,United States,0.10031968594957656,0.0062568895217449735,Major Studio Partners,0.1848184818481848
Resurrection,PG,Drama,1980,"September 26, 1980",0.7297297297297296,0.0011521001347936323,Daniel Petrie,Lewis John Carlino,Ellen Burstyn,United States,0.10031968594957656,0.0013731550226269286,Universal Pictures,0.13201320132013203
Fatso,PG,Comedy,1980,"February 1, 1980",0.5945945945945945,0.0008187619402782958,Anne Bancroft,Anne Bancroft,Dom DeLuise,United States,0.10031968594957656,0.002687773478267768,Brooksfilms,0.09900990099009901
Moscow Does Not Believe in Tears,PG,Comedy,1980,"February 11, 1980",0.8378378378378376,0.004985489371720005,Vladimir Menshov,Valentin Chernykh,Vera Alentova,Soviet Union,0.0025196841546417524,0.027743737806663903,Mosfilm,0.28712871287128716
The Fiendish Plot of Dr. Fu Manchu,PG,Comedy,1980,"August 8, 1980",0.43243243243243235,0.0008187619402782958,Piers Haggard,Rudy Dochtermann,Peter Sellers,United States,0.10031968594957656,0.0037569522964425776,Braun Entertainment Group,0.12211221122112212
Serial,R,Comedy,1980,"March 28, 1980",0.635135135135135,0.0003666720139668704,Bill Persky,Cyra McFadden,Martin Mull,United States,0.10031968594957656,0.003466654573389649,Paramount Pictures,0.07590759075907591
Hero at Large,PG,Comedy,1980,"February 8, 1980",0.5540540540540541,0.0006104255687062103,Martin Davidson,AJ Carothers,John Ritter,United States,0.10031968594957656,0.00559643550055814,Kings Road Entertainment,0.11551155115511555
Wholly Moses!,PG,Comedy,1980,"June 13, 1980",0.3783783783783784,0.0007354273916494616,Gary Weis,Guy Thomas,Dudley Moore,United States,0.10031968594957656,0.0049715790370720965,Columbia Pictures,0.13201320132013203
"Bon Voyage, Charlie Brown (and Don't Come Back!!)",G,Animation,1980,"May 30, 1980",0.7297297297297296,0.0011937674091080494,Bill Melendez,Charles M. Schulz,Scott Beach,United States,0.10031968594957656,0.0007069582589412981,Lee Mendelson Film Productions,0.03960396039603961
In God We Trust (or Gimme That Prime Time Religion),PG,Comedy,1980,"September 26, 1980",0.4864864864864864,0.00038750565112407893,Marty Feldman,Marty Feldman,Marty Feldman,United States,0.10031968594957656,0.0018314912705604202,Universal Pictures,0.11221122112211221
Roadie,PG,Comedy,1980,"June 13, 1980",0.44594594594594594,0.000443756471448542,Alan Rudolph,Big Boy Medlin,Meat Loaf,United States,0.10031968594957656,0.0014842627427808662,Alive Enterprises,0.14191419141914194
Just Tell Me What You Want,R,Comedy,1980,"January 18, 1980",0.4864864864864864,0.00022917000872929398,Sidney Lumet,Jay Presson Allen,Ali MacGraw,United States,0.10031968594957656,0.0007328471363843505,Warner Bros.,0.16171617161716176
The Last Flight of Noah's Ark,G,Adventure,1980,"June 25, 1980",0.527027027027027,0.0005270910200773761,Charles Jarrott,Ernest K. Gann,Elliott Gould,United States,0.016845647575681817,0.003863273988094827,Walt Disney Productions,0.11221122112211221
Little Miss Marker,PG,Comedy,1980,"March 21, 1980",0.5945945945945945,0.0005687582943917932,Walter Bernstein,Damon Runyon,Walter Matthau,United States,0.10031968594957656,0.0022200692301709577,Universal Pictures,0.13201320132013203
Willie & Phil,R,Comedy,1980,"August 15, 1980",0.5405405405405406,0.00015833564239478494,Paul Mazursky,Jean Gruault,Michael Ontkean,United States,0.01544114135793279,0.0015452444796817397,Twentieth Century Fox,0.1716171617161716
Windwalker,PG,Adventure,1980,"November 18, 1983",0.6756756756756757,0.0004020891971341249,Kieth Merrill,Ray Goldrup,Trevor Howard,United States,0.00841861026918766,0.027743737806663903,Santa Fe International,0.1485148514851485
Phobia,R,Drama,1980,"September 9, 1980",0.28378378378378377,0.0002129197717466713,John Huston,Gary Sherman,Paul Michael Glaser,Canada,0.01431753638373357,2.067190618275416e-05,Borough Park Productions,0.1023102310231023
Windows,R,Drama,1980,"January 18, 1980",0.3918918918918919,0.0002533370278316559,Gordon Willis,Barry Siegel,Talia Shire,United States,0.10031968594957656,0.0007474191127940565,Mike Lobell Productions,0.10891089108910892
Loving Couples,PG,Comedy,1980,"October 24, 1980",0.44594594594594594,0.00013166858683355797,Jack Smight,Martin Donovan,Shirley MacLaine,United States,0.10031968594957656,0.00098563668347501,Time Life Films,0.11221122112211221
The King and the Mockingbird,Not Rated,Animation,1980,"March 19, 1980",0.8108108108108109,0.0019854456210819742,Paul Grimault,Hans Christian Andersen,Jean Martin,France,0.10031968594957656,5.870304365078487e-05,Les Films Paul Grimault,0.066006600660066
