name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,star_avg_score,release_month,release_quarter,is_sequel
The House of the Spirits,8,1993,1994-04-01,0.6756756756756757,0.0091522168031617,Bille August,Isabel Allende,Jeremy Irons,0.0002640612622128,0.1123520703826155,0.0022003726524646,0.0011882756799577,0.2541254125412541,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.653153153153153,4,2,0
Camille Claudel,8,1988,1989-12-21,0.7297297297297297,0.0026521220101126,Bruno Nuytten,Reine-Marie Paris,Isabelle Adjani,0.0349881172432004,0.1003196859495765,0.0011698982539651,0.0001320306311064,0.3696369636963696,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6689189189189189,12,4,0
Three Fugitives,6,1989,1989-01-27,0.5810810810810811,0.0045688166285758,Francis Veber,Francis Veber,Nick Nolte,0.7190388170055453,0.0421267594951642,0.0142546792623454,0.017428043306047,0.1089108910891089,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6328828828828829,1,1,0
Same Kind of Different as Me,6,2017,2017-10-20,0.635135135135135,0.0028604583816847,Michael Carney,Ron Hall,Greg Kinnear,0.7190388170055453,0.0421267594951642,0.0022559681317078,0.0001320306311064,0.1848184818481848,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5878378378378378,10,4,0
Avengers: Age of Ultron,6,2015,2015-05-01,0.7297297297297297,0.3237401378770107,Joss Whedon,Joss Whedon,Robert Downey Jr.,0.7190388170055453,0.7022446818372065,0.4926898775957985,0.001584367573277,0.2574257425742574,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.676470588235294,5,2,0
FernGully: The Last Rainforest,0,1992,1992-04-10,0.6216216216216215,0.0116522532620267,Bill Kroyer,Jim Cox,Samantha Mathis,0.0120147874306839,0.0674078714146467,0.0114885001920385,0.0001320306311064,0.0429042904290429,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6216216216216215,4,2,0
The Hitcher,8,1986,1986-02-21,0.7162162162162162,0.0187356898954776,Robert Harmon,Eric Red,Rutger Hauer,0.7190388170055453,0.0168456475756818,0.0020527060947971,0.000660153155532,0.1122112211221122,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5945945945945945,2,1,0
Big Top Pee-wee,2,1988,1988-07-22,0.4324324324324324,0.0036521365936586,Randal Kleiser,Paul Reubens,Paul Reubens,0.7190388170055453,0.1003196859495765,0.0053111025752523,0.0422498019540533,0.0759075907590759,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6891891891891891,7,3,0
The Ghost and the Darkness,8,1996,1996-10-11,0.6621621621621622,0.0241524355563518,Stephen Hopkins,William Goldman,Michael Douglas,0.0150514919461315,0.1544872569150863,0.013563667290339,0.0003960918933192,0.1551155115511551,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6407657657657657,10,4,0
Love's Labour's Lost,2,2000,2000-03-31,0.554054054054054,0.0018187765238243,Kenneth Branagh,William Shakespeare,Alessandro Nivola,0.1066807499339846,0.0365087346241681,0.0001051833986769,0.0009242144177449,0.099009900990099,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.5675675675675674,3,1,0
Inside Llewyn Davis,8,2013,2014-01-10,0.7567567567567567,0.0599862914667505,Ethan Coen,Joel Coen,Oscar Isaac,0.7190388170055453,0.030890709753172,0.0115760778053825,0.0025085819910219,0.1353135313531353,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7567567567567567,1,1,0
The Bookshop,2,2017,2018-08-24,0.6216216216216215,0.0058188348580083,Isabel Coixet,Isabel Coixet,Emily Mortimer,0.1066807499339846,0.0151602401143829,0.0042363172866164,0.0001320306311064,0.165016501650165,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6216216216216215,8,3,0
Yellowbeard,2,1983,1983-06-24,0.554054054054054,0.0031104620275712,Mel Damski,Graham Chapman,Graham Chapman,0.1066807499339846,0.0182501537934308,0.0015101228204633,0.0001320306311064,0.1089108910891089,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.554054054054054,6,2,0
The Fast and the Furious,6,2001,2001-06-22,0.6621621621621622,0.1508209494721798,Rob Cohen,Ken Li,Vin Diesel,0.7190388170055453,0.1067340455116194,0.0728090258859813,0.049775547927119,0.1419141914191419,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6621621621621622,6,2,0
A Series of Unfortunate Events,2,2004,2004-12-17,0.6621621621621622,0.0829032923396799,Brad Silberling,Robert Gordon,Jim Carrey,0.0150514919461315,0.3932533139324208,0.0742710443258962,0.0422498019540533,0.1485148514851485,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.6860706860706861,12,4,0
54,8,1998,1998-08-28,0.527027027027027,0.0133189442346034,Mark Christopher,Mark Christopher,Ryan Phillippe,0.7190388170055453,0.0365087346241681,0.0058852851576014,0.0001320306311064,0.099009900990099,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.527027027027027,8,3,0
Labor Day,6,2013,2014-01-31,0.6756756756756757,0.0183190171523334,Jason Reitman,Jason Reitman,Kate Winslet,0.7190388170055453,0.0505537968016584,0.0071210930684724,0.000660153155532,0.1584158415841584,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6925675675675675,1,1,0
In the Mood for Love,2,2000,2001-03-09,0.8378378378378377,0.0554028912921646,Kar-Wai Wong,Kar-Wai Wong,Tony Chiu-Wai Leung,0.0056773171375759,0.1003196859495765,0.0050027084172871,0.0005281225244256,0.1155115511551155,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.8378378378378377,3,1,0
Chappie,8,2015,2015-03-06,0.6621621621621622,0.0979035110928701,Neill Blomkamp,Neill Blomkamp,Sharlto Copley,0.0009242144177449,0.137633182302098,0.0361091327646322,0.0438341695273303,0.1881188118811881,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.7094594594594594,3,1,0
The Conspirator,6,2010,2011-04-15,0.6756756756756757,0.0116522532620267,Robert Redford,James D. Solomon,Robin Wright,0.7190388170055453,0.0702168838501448,0.005487841788771,0.0001320306311064,0.1947194719471947,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.6216216216216215,4,2,0
Doubt,6,2008,2008-12-25,0.7567567567567567,0.0516528366038671,John Patrick Shanley,John Patrick Shanley,Meryl Streep,0.7190388170055453,0.0561718216726545,0.01815778367051,0.0001320306311064,0.1353135313531353,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6478537360890302,12,4,0
Ninja Assassin,8,2009,2009-11-25,0.5945945945945946,0.0291525084740819,James McTeigue,Matthew Sand,Rain,0.0150514919461315,0.1123520703826155,0.0216352831098331,0.0439662001584367,0.1188118811881188,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.5945945945945946,11,4,0
Witchboard,8,1986,1987-03-13,0.5135135135135135,0.0027354565587414,Kevin Tenney,Kevin Tenney,Todd Allen,0.1066807499339846,0.0056095978336896,0.0025881375456643,0.0001320306311064,0.1155115511551155,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.5135135135135135,3,1,0
Winter People,6,1989,1989-04-14,0.5810810810810811,0.0005270910200773,Ted Kotcheff,John Ehle,Kurt Russell,0.7190388170055453,0.1003196859495765,0.0007105016831398,0.0077898072352785,0.1551155115511551,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.7128378378378377,4,2,0
Sing,6,1989,1989-03-31,0.6756756756756757,0.0002837541380811,Richard Baskin,Dean Pitchford,Lorraine Bracco,0.7190388170055453,0.0322952159709211,0.0007938573218291,0.0124108793240031,0.1155115511551155,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.6756756756756757,3,1,0
Crash,8,2004,2005-05-06,0.7837837837837839,0.1766546595471184,Paul Haggis,Paul Haggis,Don Cheadle,0.7190388170055453,0.0182501537934308,0.034563137735093,0.0002640612622128,0.1617161716171617,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0.7837837837837839,5,2,0
Doom,8,2005,2005-10-21,0.4459459459459459,0.0458194181998487,Andrzej Bartkowiak,Dave Callaham,Karl Urban,0.1066807499339846,0.1685323190925766,0.0203957832101451,0.0001320306311064,0.1386138613861386,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.4459459459459459,10,4,0
Graveyard Shift,8,1990,1990-10-26,0.4054054054054054,0.0041521438854316,Ralph S. Singleton,Stephen King,David Andrews,0.7190388170055453,0.029486203535423,0.0040679949787294,0.0422498019540533,0.0858085808580858,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,0.4054054054054054,10,4,0
