name,rating,year,released,score,votes,director,writer,star,country,budget,gross,company,runtime,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Drama,genre_Family,genre_Fantasy,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Western,release_month,release_quarter,is_sequel
Belly,8,1998,1998-11-04,0.5810810810810811,0.0041521438854316,Hype Williams,Anthony Bodden,Nas,0.0001320306311064,0.0084186102691876,0.0033854051806036,0.0001320306311064,0.1089108910891089,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,11,4,0
The Island,6,2005,2005-07-22,0.6621621621621622,0.1266539303698179,Michael Bay,Caspian Tredwell-Owen,Scarlett Johansson,0.7190388170055453,0.353927139835448,0.0572303415533523,0.0100343279640876,0.2409240924092409,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
Hush,6,1998,1998-03-06,0.4864864864864864,0.0045688166285758,Jonathan Darby,Jonathan Darby,Jessica Lange,0.7190388170055453,0.0589808341081525,0.0047707087851541,0.0124108793240031,0.1089108910891089,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,3,1,0
Into the Storm,6,2014,2014-08-08,0.527027027027027,0.0274858175015052,Steven Quale,John Swetnam,Richard Armitage,0.7190388170055453,0.1404421947375961,0.0567221416809601,0.0002640612622128,0.0858085808580858,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,3,0
The Brown Bunny,5,2003,2003-11-14,0.4189189189189189,0.0058188348580083,Vincent Gallo,Vincent Gallo,Vincent Gallo,0.7190388170055453,0.028081697317674,0.0001412909228696,0.0001320306311064,0.099009900990099,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,11,4,0
Ravenous,8,1999,1999-03-19,0.6891891891891891,0.0158189806934684,Antonia Bird,Ted Griffin,Guy Pearce,0.1066807499339846,0.0336997221886701,0.0007242423298758,0.0001320306311064,0.1254125412541254,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0
Mafia!,6,1998,1998-07-24,0.4999999999999999,0.0062355076011525,Jim Abrahams,Jim Abrahams,Jay Mohr,0.7190388170055453,0.028081697317674,0.0069853432897776,0.0002640612622128,0.0792079207920792,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
Wonderland,8,2003,2003-10-24,0.635135135135135,0.0091522168031617,James Cox,James Cox,Val Kilmer,0.0246897280168999,0.0140366351401837,0.0008661475305651,0.002244520728809,0.1353135313531353,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,10,4,0
Child's Play 3,8,1991,1991-08-30,0.4324324324324324,0.0154023079503242,Jack Bender,Don Mancini,Justin Whalin,0.1066807499339846,0.0365087346241681,0.0072209941696029,0.049775547927119,0.0891089108910891,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8,3,1
Top Secret!,2,1984,1984-06-08,0.7162162162162162,0.0258191265289285,Jim Abrahams,Jim Abrahams,Val Kilmer,0.1066807499339846,0.0252726848821759,0.0071851999306105,0.0001320306311064,0.0891089108910891,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,0
The Bourne Identity,6,2002,2002-06-14,0.8108108108108107,0.2162385701458146,Doug Liman,Tony Gilroy,Franka Potente,0.7190388170055453,0.1685323190925766,0.0751722622380573,0.049775547927119,0.1848184818481848,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,6,2,0
Blue,5,1993,1993-12-03,0.7297297297297297,0.0008604292145927,Derek Jarman,Derek Jarman,Derek Jarman,0.1066807499339846,0.1003196859495765,0.0277437378066639,0.0001320306311064,0.0528052805280528,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
RED 2,6,2013,2013-07-19,0.635135135135135,0.0679030735864898,Dean Parisot,Jon Hoeber,Bruce Willis,0.7190388170055453,0.2359486175445298,0.0520064867990639,0.007921837866385,0.1749174917491749,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,1
Tyler Perry's Why Did I Get Married?,6,2007,2007-10-12,0.5405405405405405,0.00498548937172,Tyler Perry,Tyler Perry,Tyler Perry,0.7190388170055453,0.0421267594951642,0.0196198639245451,0.002244520728809,0.165016501650165,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,10,4,0
21 Grams,8,2003,2004-01-16,0.7702702702702702,0.0949868018908609,Alejandro G. Iñárritu,Guillermo Arriaga,Sean Penn,0.7190388170055453,0.0561718216726545,0.0212231511606844,0.0003960918933192,0.2013201320132013,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1,1,0
My Giant,2,1998,1998-04-10,0.4189189189189189,0.0027354565587414,Michael Lehmann,Billy Crystal,Billy Crystal,0.7190388170055453,0.1003196859495765,0.0028349142646968,0.0077898072352785,0.132013201320132,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0
The Fisher King,8,1991,1991-09-27,0.7567567567567567,0.0337359086486677,Terry Gilliam,Richard LaGravenese,Jeff Bridges,0.7190388170055453,0.0674078714146467,0.0147142830509601,0.0124108793240031,0.2442244224422442,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,9,3,0
A Fish Called Wanda,8,1988,1988-07-29,0.7567567567567567,0.056236236778453,Charles Crichton,John Cleese,John Cleese,0.1066807499339846,0.0210591662289288,0.0219487200356289,0.016503828888302,0.1485148514851485,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,7,3,0
High Heels,8,1991,1991-12-20,0.7027027027027025,0.0058188348580083,Pedro Almodóvar,Pedro Almodóvar,Victoria Abril,0.0062054396620015,0.1003196859495765,0.000600491866053,0.0023765513599155,0.1617161716171617,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,12,4,0
Police Academy 3: Back in Training,2,1986,1986-03-21,0.472972972972973,0.0179023444091893,Jerry Paris,Neal Israel,Steve Guttenberg,0.0246897280168999,0.1003196859495765,0.0153056165931554,0.0001320306311064,0.066006600660066,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,1
Power Rangers,6,2017,2017-03-24,0.5405405405405405,0.0433193817409837,Dean Israelite,John Gatins,Dacre Montgomery,0.7190388170055453,0.2808928165124987,0.0499910918477208,0.0076577766041721,0.2013201320132013,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,3,1,0
A River Runs Through It,2,1992,1992-10-30,0.7162162162162162,0.0229024173269193,Robert Redford,Norman Maclean,Craig Sheffer,0.7190388170055453,0.0336997221886701,0.0152568434962154,0.0005281225244256,0.198019801980198,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,10,4,0
Cutter's Way,8,1981,1982-02-10,0.6756756756756757,0.002193781992654,Ivan Passer,Newton Thornburg,Jeff Bridges,0.7190388170055453,0.0084186102691876,0.0006154456148984,0.0001320306311064,0.1518151815181518,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,2,1,0
No Escape,8,2015,2015-08-26,0.6621621621621622,0.0337359086486677,John Erick Dowdle,John Erick Dowdle,Lake Bell,0.7190388170055453,0.0454975744177619,0.0191127022483994,0.0007921837866385,0.132013201320132,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,8,3,0
Beethoven,2,1992,1992-04-03,0.5135135135135135,0.0283191629877935,Brian Levant,John Hughes,Charles Grodin,0.7190388170055453,0.1003196859495765,0.0517039080854321,0.049775547927119,0.0792079207920792,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,4,2,0
